id,tag_id,word_id
2183,95,35
2662,95,81
2884,95,113
2196,95,627
2718,95,832
2164,95,1682
2680,95,1834
2074,95,2820
2173,95,3146
2102,95,3532
2664,95,3553
2189,95,3705
2467,95,3847
2137,95,4565
2203,95,4608
2086,95,5796
2220,95,5979
2224,95,6348
2085,95,7255
2145,95,7514
2651,95,7625
2663,95,7892
2226,95,8268
2227,95,8684
2112,95,10369
2228,95,10514
2229,95,11025
2215,95,11231
2233,95,11439
2197,95,11599
2885,95,11601
2166,95,12316
2072,95,12999
2646,95,13368
2106,95,14612
2066,95,14626
2214,95,14640
2139,95,15243
2133,95,15349
2471,95,15537
2472,95,15710
2730,95,15719
2199,95,15996
2063,95,16028
2209,95,16466
2073,95,16583
2201,95,16745
2156,95,18071
2842,95,18115
2649,95,18746
2077,95,19151
2075,95,20046
2061,95,20049
2178,95,20231
2631,95,20810
2880,95,21324
2724,95,21481
2470,95,21718
2136,95,21890
2171,95,22279
2636,95,22314
2634,95,22362
2152,95,22392
2200,95,22519
2080,95,22934
2212,95,23264
2464,95,25406
2181,95,26300
2213,95,26670
2132,95,26837
2119,95,26883
2184,95,27298
2169,95,27445
2660,95,27669
2146,95,27795
2177,95,28470
2087,95,29688
2851,95,30643
2679,95,30703
2185,95,31457
2153,95,31508
2770,95,32174
2223,95,32393
2154,95,32712
2735,95,32803
2180,95,32876
2667,95,33544
2182,95,33609
2216,95,35301
2067,95,39934
2170,95,40278
2879,95,42051
2065,95,46386
2195,95,48175
2198,95,50179
2205,95,50993
2237,95,51172
2116,95,51835
2148,95,51957
2207,95,51975
2131,95,52659
2088,95,54352
2222,95,54607
2238,95,54673
2167,95,55610
2092,95,56042
2076,95,56776
2098,95,57205
2468,95,57726
2204,95,59769
2838,95,59898
2230,95,59905
2232,95,59912
2231,95,59913
2105,95,59984
2130,95,60020
2117,95,60039
2886,95,60189
2221,95,60213
2158,95,60260
2070,95,60358
2062,95,60529
2064,95,60532
2068,95,60536
2069,95,60549
2082,95,60581
2084,95,60584
2089,95,60600
2093,95,60604
2094,95,60609
2095,95,60610
2097,95,60624
2099,95,60635
2100,95,60636
2101,95,60645
2103,95,60656
2104,95,60662
2194,95,64545
2855,95,65531
2695,95,71896
2107,95,90558
2109,95,90564
2110,95,90573
2113,95,90589
2114,95,90613
2118,95,90639
2122,95,90674
2123,95,90677
2124,95,90678
2125,95,90689
2126,95,90700
2127,95,90701
2129,95,90708
2134,95,90751
2762,95,90754
2135,95,90756
2138,95,90773
2143,95,90783
2151,95,90816
2155,95,90827
2165,95,90859
2172,95,90884
2175,95,90889
2176,95,90892
2202,95,90953
2211,95,91009
2217,95,91026
2218,95,91027
2219,95,91028
2234,95,91046
2235,95,91047
2236,95,91048
2479,95,91128
2672,95,91150
2698,95,91221
2710,95,91231
2740,95,91257
2743,95,91265
2786,95,91308
2802,95,91327
2803,95,91328
2811,95,91331
2815,95,91332
2821,95,91334
2844,95,91389
2867,95,91422
2870,95,91439
2874,95,91450
2881,95,91452
2760,96,2639
2190,96,3705
2225,96,6608
2674,96,8836
2469,96,11138
2186,96,12200
2639,96,12283
2174,96,14014
2621,96,16007
2893,96,17144
2727,96,17912
2120,96,18084
2763,96,18661
2465,96,19016
2128,96,19853
2841,96,19963
2179,96,20231
2187,96,21200
2896,96,21694
2188,96,22393
2732,96,24072
2831,96,25913
2832,96,26175
2150,96,27991
2208,96,30209
2769,96,32174
2115,96,33071
2192,96,36526
2670,96,40327
2157,96,43889
2729,96,49087
2746,96,53845
2083,96,54059
2096,96,54256
2168,96,55610
2644,96,56660
2483,96,57045
2162,96,57407
2897,96,58610
2206,96,59223
2159,96,60260
2071,96,60554
2078,96,60568
2079,96,60570
2081,96,60576
2108,96,90563
2111,96,90588
2142,96,90779
2144,96,90785
2147,96,90802
2160,96,90854
2191,96,90940
2210,96,91005
2717,96,91234
2766,96,91305
2783,96,91310
2849,96,91403
